File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1135SCN_0_processed,280,113,265,36,40,2,4,8,113,109,4.6902657,0.035240202275600506,6,3.1129898862199727,0.11724187182281923
1136SCN_0_processed,256,134,240,12,19,3,7,11,132,125,3.5820897,0.024464145438222423,8,3.3747397640527406,0.10810922336036702
1137SCN_0_processed,258,131,235,18,24,1,6,14,131,110,3.5877862,0.024662360540223135,11,3.7968291250733985,0.10788666380269434
1138SCN_0_processed,421,211,384,33,40,1,7,18,211,187,3.6398103,0.015481832543443918,11,3.883502595350936,0.08720400589545456
1139SCN_0_processed,141,85,130,6,8,1,2,1,82,72,3.0588236,0.033893557422969185,9,3.8647997591087027,0.05430658537924975
1140SCN_0_processed,153,77,139,17,22,2,5,7,76,64,3.6103897,0.0393028024606972,8,3.3789473684210534,0.051779552400670406
1141SCN_0_processed,356,148,328,63,72,4,10,23,146,133,4.4324327,0.023166023166023165,7,3.264430798299481,0.1319152027872958
1142SCN_0_processed,366,153,337,36,43,6,7,24,153,134,4.4052286,0.02476780185758514,9,3.388200894392846,0.12059087485694664
1143SCN_0_processed,448,209,407,38,46,2,8,20,209,166,3.8947368,0.016516378358483623,10,3.696862348178139,0.11119670785262631
1144SCN_0_processed,86,59,76,6,6,1,0,3,38,27,2.5762713,0.04032729398012858,12,4.450924608819346,0.05367231638418079
1145SCN_0_processed,381,184,345,23,27,2,4,12,182,156,3.75,0.018769303872653836,9,3.6510230101390326,0.07185266029768411
1146SCN_0_processed,600,254,536,68,87,5,20,30,254,213,4.2204723,0.013818430798916934,8,3.4696399116118384,0.11750979107607908
1147SCN_0_processed,183,99,168,14,19,0,5,9,94,69,3.3939395,0.030715316429602145,11,4.201098146877143,0.0872602364697226
1148SCN_0_processed,507,249,460,34,51,2,17,26,249,209,3.6947792,0.013181759295245498,9,3.7180658116336316,0.0759466215366597
1149SCN_0_processed,279,132,253,27,38,1,11,9,132,110,3.8333333,0.024751330094841546,8,3.537011334721259,0.07670456438614649
1150SCN_0_processed,543,218,498,63,71,4,9,18,218,183,4.568807,0.01788356656660889,8,3.4795586183570792,0.10203475413269851
1151SCN_0_processed,538,248,485,44,56,5,15,29,248,219,3.9112904,0.0138435418571242,8,3.4653258456314497,0.10582736657741217
